id,shop_id,purchase_date,user,created_at,updated_at,is_reference
13,16,"2015-04-16 00:00:00",admin,"2015-04-16 15:00:10","2015-04-20 16:57:34",
9,12,"2015-04-11 00:00:00",admin,"2015-04-11 15:55:41","2015-04-20 18:50:19",
10,13,"2015-04-11 00:00:00",admin,"2015-04-11 21:14:46","2015-04-20 18:50:54",
12,15,"2015-04-14 00:00:00",admin,"2015-04-14 23:02:49","2015-04-20 18:54:21",
14,17,"2015-04-16 00:00:00",admin,"2015-04-16 17:11:51","2015-04-20 18:55:18",
7,11,"2015-04-11 00:00:00",admin,"2015-04-11 15:52:47","2015-04-20 18:56:23",
15,3,"2015-04-19 00:00:00",admin,"2015-04-19 18:37:37","2015-04-21 04:28:53",
